               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098159,            0.018727,            0.034619,             0.42473,            0.082522,             0.13555,            0.074835,             0.08691,            0.014562,            0.027322,           0.0032813,           0.0032813,            0.070469
                   1,            0.081519,            0.017618,            0.017756,             0.53179,             0.28066,             0.23836,             0.11655,            0.089199,            0.010767,           0.0073202,           0.0065491,           0.0065491,            0.040403
                   2,            0.078138,            0.014902,           0.0073382,             0.45837,             0.25046,             0.25627,             0.12185,             0.08297,            0.008772,           0.0041714,           0.0097509,           0.0097509,            0.010272
                   3,            0.071728,            0.014107,           0.0061942,              0.5133,             0.30448,             0.31503,             0.12187,            0.077533,           0.0090807,            0.014378,            0.009703,            0.009703,            0.009703
                   4,            0.063882,            0.013148,           0.0051998,             0.63365,             0.37684,             0.36857,             0.17173,            0.063867,           0.0090201,           0.0052834,            0.009703,            0.009703,            0.009703
                   5,            0.062852,            0.012994,           0.0048627,             0.85387,             0.36878,             0.45913,             0.23104,            0.067783,           0.0086397,            0.006622,            0.009604,            0.009604,            0.009604
                   6,            0.059783,            0.012724,           0.0048514,             0.70234,             0.40285,             0.44743,             0.20001,            0.062421,           0.0086701,           0.0039588,            0.009505,            0.009505,            0.009505
                   7,            0.056745,            0.012508,           0.0034229,             0.78359,              0.3996,             0.45666,             0.21164,            0.062217,           0.0082577,           0.0054335,            0.009406,            0.009406,            0.009406
                   8,            0.056225,            0.012797,           0.0034421,              0.8276,             0.45081,             0.55303,             0.25071,            0.058538,           0.0083642,           0.0044458,            0.009307,            0.009307,            0.009307
                   9,            0.055267,            0.012669,           0.0030378,             0.74705,             0.46309,             0.50968,             0.25541,            0.057975,           0.0080496,           0.0049102,            0.009208,            0.009208,            0.009208
                  10,            0.054165,            0.012349,           0.0026103,             0.85637,             0.47886,             0.56393,             0.27681,            0.057507,           0.0080274,             0.00329,            0.009109,            0.009109,            0.009109
                  11,            0.053031,            0.012014,           0.0024804,              0.7995,             0.43533,             0.52937,             0.26664,            0.058055,           0.0079333,           0.0024889,             0.00901,             0.00901,             0.00901
                  12,            0.051614,             0.01139,           0.0021785,             0.85225,             0.45666,             0.56874,             0.29076,             0.05603,           0.0076206,           0.0010621,            0.008911,            0.008911,            0.008911
                  13,            0.051603,            0.011726,           0.0025075,             0.81181,             0.48292,             0.60045,             0.28801,            0.055425,            0.007723,          0.00099439,            0.008812,            0.008812,            0.008812
                  14,            0.050903,            0.011827,           0.0020231,             0.87213,             0.46886,             0.58453,             0.29905,            0.055663,           0.0077294,          0.00068198,            0.008713,            0.008713,            0.008713
                  15,            0.050194,            0.011386,           0.0019994,             0.91704,             0.43203,              0.5578,             0.28477,            0.060422,           0.0076956,          0.00085353,            0.008614,            0.008614,            0.008614
                  16,             0.05083,            0.011876,           0.0017999,             0.82392,             0.46352,             0.56187,             0.29817,            0.056268,           0.0076926,           0.0015216,            0.008515,            0.008515,            0.008515
                  17,             0.04908,            0.011588,            0.001389,             0.82064,             0.47955,             0.59082,             0.27254,            0.056215,           0.0074658,          0.00097663,            0.008416,            0.008416,            0.008416
                  18,            0.048271,             0.01114,           0.0017213,             0.88232,             0.51556,             0.62657,             0.30992,            0.054529,           0.0072666,          0.00075873,            0.008317,            0.008317,            0.008317
                  19,            0.048222,            0.011024,           0.0017058,             0.72292,             0.50659,             0.60252,             0.29558,            0.054672,           0.0075671,           0.0011069,            0.008218,            0.008218,            0.008218
                  20,            0.047827,             0.01103,           0.0017158,               0.845,             0.50476,             0.59673,             0.30349,            0.054889,           0.0075966,          0.00088809,            0.008119,            0.008119,            0.008119
                  21,            0.047082,             0.01099,           0.0014782,             0.86843,             0.50683,             0.62168,             0.31516,            0.052913,           0.0074447,          0.00075356,             0.00802,             0.00802,             0.00802
                  22,            0.047884,            0.010873,           0.0011257,             0.78028,             0.51859,             0.61187,             0.32297,            0.053488,           0.0073458,          0.00041619,            0.007921,            0.007921,            0.007921
                  23,            0.046688,            0.011092,           0.0013904,             0.77707,             0.53746,             0.64257,             0.34266,            0.053165,           0.0072343,          0.00040094,            0.007822,            0.007822,            0.007822
                  24,            0.046526,            0.010802,           0.0010861,              0.8463,             0.53638,             0.62227,             0.33188,            0.053193,           0.0074779,           0.0010528,            0.007723,            0.007723,            0.007723
                  25,            0.045689,            0.010674,           0.0010417,             0.87362,             0.49925,              0.6436,             0.35379,            0.052281,            0.007247,           0.0012218,            0.007624,            0.007624,            0.007624
                  26,            0.044993,            0.010737,           0.0010473,             0.74572,             0.56229,             0.64498,             0.33986,            0.051975,            0.007261,          0.00058711,            0.007525,            0.007525,            0.007525
                  27,            0.044966,            0.010662,           0.0013634,             0.85801,              0.5285,              0.6383,             0.34153,            0.052861,             0.00724,            0.003204,            0.007426,            0.007426,            0.007426
                  28,            0.044871,            0.010949,           0.0016085,             0.72288,             0.55251,             0.62926,               0.334,            0.053417,           0.0073819,           0.0011799,            0.007327,            0.007327,            0.007327
                  29,            0.043556,            0.010402,           0.0013451,             0.77119,             0.55517,             0.66063,             0.34231,            0.052759,           0.0074232,           0.0025236,            0.007228,            0.007228,            0.007228
                  30,            0.044181,            0.010638,           0.0013683,             0.79022,             0.52969,             0.64252,             0.30729,            0.052894,           0.0073974,            0.000652,            0.007129,            0.007129,            0.007129
                  31,            0.042651,            0.010454,           0.0012881,             0.91452,             0.51542,             0.65988,             0.34534,            0.050698,           0.0074974,          0.00044727,             0.00703,             0.00703,             0.00703
                  32,            0.043796,            0.010454,           0.0010378,              0.8687,             0.53965,             0.64154,             0.34765,            0.051808,           0.0072604,          0.00047818,            0.006931,            0.006931,            0.006931
                  33,            0.043601,            0.010355,           0.0011911,             0.78202,             0.55444,             0.65221,             0.34812,            0.051821,           0.0072316,           0.0005554,            0.006832,            0.006832,            0.006832
                  34,            0.042394,            0.010099,          0.00089088,             0.85462,             0.53692,             0.66147,                0.34,            0.051907,           0.0070915,          0.00044126,            0.006733,            0.006733,            0.006733
                  35,            0.042872,            0.010469,           0.0011079,             0.76303,             0.60956,             0.67514,             0.36437,            0.050946,           0.0071876,          0.00075247,            0.006634,            0.006634,            0.006634
                  36,            0.042151,            0.010216,           0.0010805,             0.82807,             0.52817,             0.65891,             0.35721,             0.05191,            0.007231,          0.00069679,            0.006535,            0.006535,            0.006535
                  37,            0.042162,           0.0098145,          0.00067877,              0.7463,             0.63964,             0.69582,             0.37041,            0.051563,           0.0069681,           0.0021817,            0.006436,            0.006436,            0.006436
                  38,            0.041412,           0.0097159,          0.00084714,             0.81808,             0.61532,             0.71452,             0.37362,             0.05001,           0.0069672,          0.00083586,            0.006337,            0.006337,            0.006337
                  39,            0.042048,           0.0097892,          0.00091146,             0.78842,             0.62113,             0.69937,             0.36614,            0.051019,            0.006902,          0.00037096,            0.006238,            0.006238,            0.006238
                  40,            0.040916,           0.0098516,           0.0010836,             0.75384,              0.6393,             0.70572,             0.37458,            0.049219,           0.0067803,          0.00042971,            0.006139,            0.006139,            0.006139
                  41,            0.040756,           0.0095826,          0.00066006,              0.8328,             0.60443,             0.70753,             0.37973,            0.049965,           0.0067197,          0.00067776,             0.00604,             0.00604,             0.00604
                  42,            0.040422,           0.0098034,          0.00075542,             0.81924,              0.6373,              0.7161,              0.3823,            0.049379,           0.0067917,          0.00074279,            0.005941,            0.005941,            0.005941
                  43,            0.039799,           0.0096763,          0.00070806,             0.72687,             0.65615,             0.70973,             0.36438,            0.049586,           0.0068797,          0.00046795,            0.005842,            0.005842,            0.005842
                  44,             0.04015,           0.0094657,            0.000663,              0.7063,             0.63893,             0.70411,             0.36939,            0.051552,           0.0067354,          0.00041105,            0.005743,            0.005743,            0.005743
                  45,            0.040172,           0.0094125,          0.00065105,             0.76807,             0.58881,             0.68725,             0.35696,            0.050372,           0.0069833,          0.00087283,            0.005644,            0.005644,            0.005644
                  46,            0.039289,           0.0092144,          0.00070318,             0.87772,             0.52019,             0.67811,             0.36959,             0.04986,           0.0071003,          0.00037975,            0.005545,            0.005545,            0.005545
                  47,            0.039193,           0.0094902,          0.00061465,             0.75474,             0.65119,             0.72118,             0.37898,            0.049571,           0.0068962,          0.00076294,            0.005446,            0.005446,            0.005446
                  48,            0.040128,           0.0093808,          0.00054986,             0.75192,              0.6782,             0.73533,             0.38566,            0.048568,            0.006675,          0.00048827,            0.005347,            0.005347,            0.005347
                  49,            0.038823,           0.0096982,           0.0005709,             0.88764,             0.58189,             0.73608,             0.39505,            0.049633,           0.0067947,           0.0017585,            0.005248,            0.005248,            0.005248
                  50,            0.038692,           0.0094002,          0.00050248,             0.83834,             0.57827,             0.71809,             0.38382,            0.049106,           0.0068313,           0.0018529,            0.005149,            0.005149,            0.005149
                  51,            0.038547,            0.009284,          0.00053547,             0.79388,              0.6364,             0.73405,              0.3872,            0.049413,           0.0068259,          0.00085839,             0.00505,             0.00505,             0.00505
                  52,            0.038125,           0.0090402,          0.00064383,             0.75652,             0.69485,             0.74908,             0.39074,            0.048529,           0.0067559,          0.00068438,            0.004951,            0.004951,            0.004951
                  53,            0.036749,           0.0089384,          0.00055559,             0.78336,             0.59012,             0.70661,             0.37939,            0.048555,           0.0069239,          0.00052652,            0.004852,            0.004852,            0.004852
                  54,            0.037629,           0.0092521,          0.00089519,             0.77701,             0.64483,             0.72564,              0.3823,            0.049039,           0.0069298,          0.00069449,            0.004753,            0.004753,            0.004753
                  55,            0.037612,           0.0092119,            0.000488,             0.75944,              0.6579,             0.74413,             0.39866,            0.048089,           0.0068575,          0.00069336,            0.004654,            0.004654,            0.004654
                  56,            0.036582,           0.0089074,           0.0007194,              0.7782,             0.69175,               0.759,             0.40905,            0.047746,           0.0066388,           0.0010774,            0.004555,            0.004555,            0.004555
                  57,            0.036525,           0.0087688,          0.00058962,             0.75549,              0.6968,             0.74717,             0.40739,            0.047581,           0.0066838,          0.00045663,            0.004456,            0.004456,            0.004456
                  58,            0.036464,            0.008742,           0.0006746,             0.80374,              0.6239,             0.72342,             0.39757,             0.04909,           0.0068887,           0.0010181,            0.004357,            0.004357,            0.004357
                  59,             0.03641,            0.008836,          0.00060826,             0.82051,             0.63514,             0.74219,             0.39442,            0.048657,            0.006739,          0.00097011,            0.004258,            0.004258,            0.004258
                  60,            0.036828,           0.0090048,          0.00067389,             0.77916,             0.70352,             0.76801,               0.409,            0.046877,           0.0066802,          0.00048983,            0.004159,            0.004159,            0.004159
                  61,            0.036043,            0.008514,          0.00054669,             0.77281,             0.74755,             0.79401,             0.42279,             0.04555,            0.006612,          0.00039109,             0.00406,             0.00406,             0.00406
                  62,             0.03535,           0.0089135,          0.00047668,             0.70905,             0.73556,             0.76808,             0.41464,            0.046277,           0.0067308,          0.00049803,            0.003961,            0.003961,            0.003961
                  63,            0.034879,           0.0087601,          0.00048557,             0.73789,             0.69304,             0.74267,             0.40252,            0.047872,           0.0069767,          0.00087449,            0.003862,            0.003862,            0.003862
                  64,            0.035417,            0.008474,          0.00053173,             0.79858,             0.67067,             0.76345,             0.41967,            0.046543,           0.0065942,          0.00073983,            0.003763,            0.003763,            0.003763
                  65,            0.035723,           0.0086761,          0.00032245,             0.84473,             0.65991,              0.7492,             0.40727,            0.047376,           0.0066942,          0.00087052,            0.003664,            0.003664,            0.003664
                  66,            0.034162,           0.0084197,           0.0005228,             0.78358,             0.64768,             0.75403,              0.4084,            0.048198,           0.0067594,          0.00055298,            0.003565,            0.003565,            0.003565
                  67,            0.035432,            0.008805,          0.00043902,             0.79181,             0.65343,             0.75102,             0.40495,            0.047758,           0.0067867,          0.00042921,            0.003466,            0.003466,            0.003466
                  68,            0.034735,            0.008401,            0.000518,             0.78566,             0.62747,             0.75303,             0.40645,            0.047853,           0.0066069,           0.0004952,            0.003367,            0.003367,            0.003367
                  69,            0.034163,           0.0083991,            0.000367,             0.80491,             0.66679,             0.77164,             0.41896,            0.047255,           0.0067537,          0.00060031,            0.003268,            0.003268,            0.003268
                  70,            0.034332,           0.0085478,          0.00045343,             0.75376,              0.7472,             0.78757,             0.44248,            0.045817,           0.0064859,          0.00074075,            0.003169,            0.003169,            0.003169
                  71,            0.033591,           0.0082867,          0.00047516,              0.7879,             0.73986,             0.78501,             0.43426,            0.047046,           0.0064267,           0.0015313,             0.00307,             0.00307,             0.00307
                  72,            0.032801,           0.0081385,          0.00043745,             0.77679,             0.72315,             0.77589,             0.41662,            0.046635,           0.0066225,           0.0013055,            0.002971,            0.002971,            0.002971
                  73,            0.032994,           0.0082554,          0.00052192,              0.7661,              0.7672,             0.79608,             0.43266,            0.045304,           0.0065051,          0.00088315,            0.002872,            0.002872,            0.002872
                  74,            0.032673,           0.0083013,          0.00062869,             0.77327,             0.73742,             0.78696,             0.43029,            0.045143,           0.0064857,           0.0014302,            0.002773,            0.002773,            0.002773
                  75,            0.032291,            0.007911,          0.00037103,             0.81332,             0.74608,              0.8114,             0.42822,            0.045157,           0.0066931,           0.0013859,            0.002674,            0.002674,            0.002674
                  76,            0.032344,           0.0081272,          0.00033709,             0.77663,             0.67852,             0.77143,                0.41,            0.046381,           0.0069714,           0.0011603,            0.002575,            0.002575,            0.002575
                  77,            0.032498,           0.0080495,          0.00028576,             0.81038,             0.71337,             0.79567,             0.42404,            0.046133,           0.0066105,           0.0011504,            0.002476,            0.002476,            0.002476
                  78,            0.031988,           0.0077011,          0.00037559,             0.81757,             0.73469,             0.79951,             0.42999,            0.046311,           0.0066236,           0.0015836,            0.002377,            0.002377,            0.002377
                  79,            0.032261,           0.0078502,          0.00056083,             0.80558,             0.69077,             0.77547,             0.42595,             0.04663,             0.00682,           0.0020181,            0.002278,            0.002278,            0.002278
                  80,            0.031711,           0.0079134,          0.00053503,             0.76243,             0.73628,             0.78822,             0.42207,            0.046173,           0.0067143,            0.001732,            0.002179,            0.002179,            0.002179
                  81,            0.031198,           0.0077308,          0.00034959,             0.80292,             0.74969,             0.79466,             0.43756,            0.045318,           0.0066937,           0.0014356,             0.00208,             0.00208,             0.00208
                  82,            0.031178,           0.0081109,          0.00026617,              0.7911,             0.73247,             0.78757,             0.41864,            0.045936,           0.0067297,            0.000942,            0.001981,            0.001981,            0.001981
                  83,            0.030889,           0.0079423,          0.00034355,             0.85034,             0.72834,             0.79688,             0.42781,            0.046172,           0.0067349,           0.0012803,            0.001882,            0.001882,            0.001882
                  84,            0.030209,           0.0077267,           0.0002812,             0.80757,             0.71695,               0.787,             0.44176,            0.045491,           0.0067042,          0.00099937,            0.001783,            0.001783,            0.001783
                  85,            0.030858,           0.0075089,          0.00025883,             0.79016,             0.76406,             0.79415,             0.44601,            0.045355,           0.0065187,           0.0011236,            0.001684,            0.001684,            0.001684
                  86,            0.030151,           0.0076168,          0.00026447,             0.83332,             0.72281,             0.78857,             0.43054,            0.046096,           0.0067787,           0.0015277,            0.001585,            0.001585,            0.001585
                  87,            0.029755,           0.0077643,          0.00028876,             0.86177,             0.71668,             0.80386,             0.44125,            0.045224,            0.006535,           0.0013539,            0.001486,            0.001486,            0.001486
                  88,            0.030148,           0.0074629,          0.00022015,             0.84969,             0.76506,             0.81254,             0.44066,            0.044646,           0.0064082,           0.0012078,            0.001387,            0.001387,            0.001387
                  89,            0.030037,           0.0073662,          0.00034738,             0.86383,             0.74996,             0.80781,              0.4394,            0.044718,            0.006566,          0.00094989,            0.001288,            0.001288,            0.001288
                  90,            0.029016,           0.0076379,          0.00030214,             0.82479,             0.77429,             0.81489,             0.45412,            0.044639,           0.0066093,           0.0011675,            0.001189,            0.001189,            0.001189
                  91,            0.029164,            0.007485,          0.00023494,             0.78579,             0.78771,             0.81822,              0.4498,            0.044839,           0.0065346,           0.0011661,             0.00109,             0.00109,             0.00109
                  92,            0.028622,           0.0072645,           0.0002965,             0.86316,             0.74586,             0.81789,             0.44681,            0.045508,           0.0065661,           0.0013312,            0.000991,            0.000991,            0.000991
                  93,            0.028385,           0.0072359,           0.0002561,             0.84185,             0.76122,             0.82159,             0.44543,            0.045125,           0.0066102,           0.0013966,            0.000892,            0.000892,            0.000892
                  94,            0.028504,           0.0076794,          0.00031276,             0.86907,             0.71881,             0.79944,             0.44313,             0.04508,           0.0065541,           0.0015149,            0.000793,            0.000793,            0.000793
                  95,            0.028298,           0.0073029,          0.00023022,             0.85809,             0.77671,              0.8273,             0.45204,            0.044769,           0.0065371,           0.0016403,            0.000694,            0.000694,            0.000694
                  96,            0.028099,           0.0072419,          0.00023363,             0.85843,              0.7757,             0.81366,             0.44441,            0.045158,           0.0065651,           0.0016482,            0.000595,            0.000595,            0.000595
                  97,            0.027757,           0.0073002,          0.00016474,             0.84831,             0.77814,              0.8177,             0.44787,            0.045065,           0.0065107,           0.0014297,            0.000496,            0.000496,            0.000496
                  98,            0.027495,           0.0071118,          0.00030885,             0.82815,             0.77662,             0.82001,             0.44253,            0.045075,           0.0065811,           0.0012042,            0.000397,            0.000397,            0.000397
                  99,             0.02772,           0.0072736,          0.00037596,             0.81152,             0.77664,             0.80981,             0.44917,            0.044622,           0.0065197,           0.0013304,            0.000298,            0.000298,            0.000298
